model,package,outcome,phase,code,bucket,seconds,diagnostic,evidence,mechanism
Modelica.Fluid.Fittings.GenericResistances.VolumeFlowRate,Fluid.Fittings,error,typecheck,ET001,p0a-specialization,21.2,unknown modifier `min` for component `dp_start` of type `Medium.AbsolutePressure`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Fittings.SimpleGenericOrifice,Fluid.Fittings,error,typecheck,ET001,p0a-specialization,22.1,unknown modifier `min` for component `dp_start` of type `Medium.AbsolutePressure`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Fittings.SharpEdgedOrifice,Fluid.Fittings,error,typecheck,ET001,p0a-specialization,21.1,unknown modifier `min` for component `dp_start` of type `Medium.AbsolutePressure`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Fittings.AbruptAdaptor,Fluid.Fittings,error,typecheck,ET001,p0a-specialization,22.0,unknown modifier `min` for component `dp_start` of type `Medium.AbsolutePressure`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Fittings.MultiPort,Fluid.Fittings,error,typecheck,ET001,zero-extent,21.8,unknown member `m_flow` on component reference `ports_b.m_flow` of type `Modelica.Fluid.Interfaces.FluidPorts_b`,"member lookup on a zero-extent connector array whose element type draws its members from a replaceable package; reproduced standalone, where the plain-connector zero-extent array compiles",GUESSNAME equations/mod.rs::lookup_parameter_in_scope
Modelica.Fluid.Fittings.TeeJunctionIdeal,Fluid.Fittings,error,flatten,EF024,p0a-specialization,20.2,flat variable is missing structured identity: nXi,"a member of the selected package (function, record constant or structural constant `nXi`) reaches Flat with no structured identity",GUESSNAME equations/mod.rs::lookup_parameter_in_scope
Modelica.Fluid.Fittings.TeeJunctionVolume,Fluid.Fittings,error,instantiate,EI012,p0a-specialization,22.2,cannot instantiate partial class `Medium.BaseProperties` for component `medium`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Media.Examples.SimpleLiquidWater,Media.Examples,error,dae,ED008,p0a-specialization,21.9,unresolved Flat reference `Modelica.Media.Interfaces.PartialSimpleMedium.eta_const`,ED008 names a partial interface class as the effective type of a redeclared occurrence,ALIAS override_map.rs alias-path fallback
Modelica.Media.Examples.IdealGasH2O,Media.Examples,error,dae,ED008,genuinely-new,23.5,unresolved Flat reference `Modelica.Media.IdealGases.Common.SingleGasNasa.data.name`,"member read off a package-level constant of record type; reproduced standalone, where a scalar package constant resolves and every record-constant member does not",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Media.Examples.WaterIF97,Media.Examples,error,flatten,EF024,p0a-specialization,23.2,flat variable is missing structured identity: molarMass,"a member of the selected package (function, record constant or structural constant `molarMass`) reaches Flat with no structured identity",GUESSNAME equations/mod.rs::lookup_parameter_in_scope
Modelica.Media.Examples.MixtureGases,Media.Examples,error,flatten,EF025,p0a-specialization,22.9,missing exact function-selection identity for `Medium1.specificHeatCapacityCp`: function source package has multiple exact override package selections,EF025 ambiguous effective function selection under redeclare: function source package has multiple exact override package selections,SIGWALK function_signatures.rs depth-capped signature walk
Modelica.Media.Examples.MoistAir,Media.Examples,error,flatten,EF019,p0a-specialization,25.0,"inconsistent resolved function reference: rendered `Modelica.Media.Interfaces.PartialMedium.specificEnthalpy`, structured `specificEnthalpy`",EF019 names a partial interface class as the effective type of a redeclared occurrence,ALIAS override_map.rs alias-path fallback
Modelica.Media.Examples.PsychrometricData,Media.Examples,error,flatten,EF019,p0a-specialization,25.1,"inconsistent resolved function reference: rendered `Modelica.Media.Interfaces.PartialMedium.specificEnthalpy`, structured `specificEnthalpy`",EF019 names a partial interface class as the effective type of a redeclared occurrence,ALIAS override_map.rs alias-path fallback
Modelica.Media.Examples.TwoPhaseWater.ExtendedProperties,Media.Examples,error,flatten,EF024,p0a-specialization,22.7,flat variable is missing structured identity: molarMass,"a member of the selected package (function, record constant or structural constant `molarMass`) reaches Flat with no structured identity",GUESSNAME equations/mod.rs::lookup_parameter_in_scope
Modelica.Media.Examples.TwoPhaseWater.TestTwoPhaseStates,Media.Examples,error,flatten,EF024,p0a-specialization,22.6,flat variable is missing structured identity: molarMass,"a member of the selected package (function, record constant or structural constant `molarMass`) reaches Flat with no structured identity",GUESSNAME equations/mod.rs::lookup_parameter_in_scope
Modelica.Media.Examples.ReferenceAir.DryAir1,Media.Examples,error,flatten,EF019,p0a-specialization,22.9,"inconsistent resolved function reference: rendered `Modelica.Media.Interfaces.PartialMedium.specificEnthalpy`, structured `specificEnthalpy`",EF019 names a partial interface class as the effective type of a redeclared occurrence,ALIAS override_map.rs alias-path fallback
Modelica.Media.Examples.ReferenceAir.DryAir2,Media.Examples,error,dae,ED008,genuinely-new,22.9,unresolved Flat reference `Modelica.Media.Air.ReferenceAir.Air_Utilities.Basic.Constants.h_off`,"member read off a package-level constant of record type; reproduced standalone, where a scalar package constant resolves and every record-constant member does not",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Media.Examples.ReferenceAir.MoistAir,Media.Examples,error,flatten,EF019,p0a-specialization,22.5,"inconsistent resolved function reference: rendered `Modelica.Media.Interfaces.PartialMedium.specificEnthalpy`, structured `specificEnthalpy`",EF019 names a partial interface class as the effective type of a redeclared occurrence,ALIAS override_map.rs alias-path fallback
Modelica.Media.Examples.ReferenceAir.MoistAir1,Media.Examples,error,flatten,EF019,p0a-specialization,23.2,"inconsistent resolved function reference: rendered `Modelica.Media.Interfaces.PartialMedium.specificEnthalpy`, structured `specificEnthalpy`",EF019 names a partial interface class as the effective type of a redeclared occurrence,ALIAS override_map.rs alias-path fallback
Modelica.Media.Examples.ReferenceAir.MoistAir2,Media.Examples,error,flatten,EF019,p0a-specialization,25.2,"inconsistent resolved function reference: rendered `Modelica.Media.Interfaces.PartialMedium.specificEnthalpy`, structured `specificEnthalpy`",EF019 names a partial interface class as the effective type of a redeclared occurrence,ALIAS override_map.rs alias-path fallback
Modelica.Media.Examples.ReferenceAir.Inverse_sh_T,Media.Examples,error,dae,ED008,genuinely-new,22.3,unresolved Flat reference `Modelica.Media.Air.ReferenceAir.Air_Utilities.Basic.Constants.h_off`,"member read off a package-level constant of record type; reproduced standalone, where a scalar package constant resolves and every record-constant member does not",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Media.Examples.ReferenceAir.Inverse_sh_TX,Media.Examples,error,dae,ED019,genuinely-new,22.8,unsupported Flat semantic owner `parameter binding`: `h_min` cannot be evaluated: division by zero,the structural evaluator fails on a parameter binding whose operands it has mistyped,FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Media.Examples.R134a.R134a1,Media.Examples,error,flatten,EF019,p0a-specialization,22.7,"inconsistent resolved function reference: rendered `Modelica.Media.Interfaces.PartialTwoPhaseMedium.saturationTemperature`, structured `saturationTemperature`",EF019 names a partial interface class as the effective type of a redeclared occurrence,ALIAS override_map.rs alias-path fallback
Modelica.Media.Examples.R134a.R134a2,Media.Examples,error,flatten,EF019,p0a-specialization,22.7,"inconsistent resolved function reference: rendered `Modelica.Media.Interfaces.PartialTwoPhaseMedium.saturationTemperature`, structured `saturationTemperature`",EF019 names a partial interface class as the effective type of a redeclared occurrence,ALIAS override_map.rs alias-path fallback
Modelica.Media.Examples.SolveOneNonlinearEquation.Inverse_sine,Media.Examples,error,dae,ED019,declared-unsupported,21.4,"unsupported Flat semantic owner `function partial application`: MLS §12.4.2.1 partial application of `f_nonlinear` binds 3 of 4 formal parameters and denotes a function value, which the canonical DAE has no value shape for","ED019 rejects a named MLS construct the compiler does not yet represent, rather than miscompiling it",
Modelica.Media.Examples.SolveOneNonlinearEquation.Inverse_sh_T,Media.Examples,error,dae,ED019,genuinely-new,19.1,"unsupported Flat semantic owner `parameter binding`: `h_min` cannot be evaluated: type mismatch: expected comparable, got Integer < Enumeration",the structural evaluator fails on a parameter binding whose operands it has mistyped,FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Media.Examples.SolveOneNonlinearEquation.InverseIncompressible_sh_T,Media.Examples,error,flatten,EF016,p0a-specialization,17.7,invalid call of function `Modelica.Media.Interfaces.PartialMedium.ThermodynamicState`: named argument `p` does not match any input,EF016 names a partial interface class as the effective type of a redeclared occurrence,ALIAS override_map.rs alias-path fallback
Modelica.Media.Examples.SolveOneNonlinearEquation.Inverse_sh_TX,Media.Examples,error,flatten,EF015,p0a-specialization,17.7,missing resolved class metadata for `Modelica.Media.IdealGases.Common.MixtureGasNasa.ThermodynamicState` (one exact record layout for the constructor declaration),EF015 on a redeclare/selection route: missing resolved class metadata for `Modelica.Media.IdealGases.Common.MixtureGasNasa.ThermodynamicState` (one exact record layout for the constructor ,ALIAS override_map.rs alias-path fallback
Modelica.Media.Examples.Utilities.PortVolume,Media.Examples,error,instantiate,EI012,p0a-specialization,17.4,cannot instantiate partial class `Medium.BaseProperties` for component `medium`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Media.Examples.Utilities.FixedMassFlowRate,Media.Examples,error,instantiate,EI012,p0a-specialization,15.8,cannot instantiate partial class `Medium.BaseProperties` for component `medium`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Media.Examples.Utilities.FixedAmbient,Media.Examples,error,instantiate,EI012,p0a-specialization,12.9,cannot instantiate partial class `Medium.BaseProperties` for component `medium`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Media.Examples.Utilities.ShortPipe,Media.Examples,ok,,,,11.3,,,
